kl,wkl
3, -0.413997
4, -0.664303
5, -0.995560
6, 0.182089
7, 0.492367
8, 0.536801
9, -0.635459
1, -0.284416
2, -0.141727
3, -0.425995
4, -0.672222
5, -0.986389
6, 0.176878
7, 0.477944
8, 0.553506
9, -0.644950
1, -0.292631
2, -0.147734
3, -0.407633
4, -0.686490
5, -0.996821
6, 0.208769
7, 0.475168
8, 0.551476
9, -0.638746
1, -0.269697
2, -0.159883
3, -0.421640
4, -0.664997
5, -1.008207
6, 0.195643
7, 0.487584
8, 0.544899
9, -0.646329
1, -0.287090
2, -0.138301
3, -0.433702
4, -0.674163
5, -0.996833
6, 0.189286
7, 0.473960
8, 0.561804
9, -0.655778
1, -0.295099
2, -0.144113
3, -0.415843
4, -0.688131
5, -1.006970
6, 0.220431
7, 0.471614
8, 0.560102
9, -0.650546
1, -0.272239
2, -0.154796
3, -0.429872
4, -0.662867
5, -1.018777
6, 0.204926
7, 0.483988
8, 0.554319
9, -0.658140
1, -0.291049
2, -0.134169
3, -0.441085
4, -0.670658
5, -1.010232
6, 0.200282
7, 0.467370
8, 0.572543
9, -0.668047
1, -0.298564
2, -0.139299
3, -0.423748
4, -0.684625
5, -1.019767
6, 0.232501
7, 0.465314
8, 0.571139
9, -0.663303
1, -0.276561
2, -0.147624
3, -0.438114
4, -0.655256
5, -1.030879
6, 0.213327
7, 0.474045
8, 0.567836
9, -0.669003
1, -0.294097
2, -0.126264
3, -0.449825
4, -0.664234
5, -1.019943
6, 0.207331
7, 0.459962
8, 0.584990
9, -0.678409
1, -0.302093
2, -0.131836
3, -0.431768
4, -0.678683
5, -1.030011
6, 0.239960
7, 0.457040
8, 0.582954
9, -0.671812
1, -0.280030
2, -0.141169
3, -0.446033
4, -0.652350
5, -1.041150
6, 0.222934
7, 0.466044
8, 0.579145
9, -0.677633
1, -0.298647
2, -0.120661
3, -0.457136
4, -0.659954
5, -1.032773
6, 0.218399
7, 0.449999
8, 0.596820
9, -0.687202
1, -0.306263
2, -0.125734
3, -0.439703
4, -0.674221
5, -1.042278
6, 0.251059
7, 0.447576
8, 0.595207
9, -0.681657
1, -0.283700
2, -0.137309
3, -0.453399
4, -0.651607
5, -1.053879
6, 0.237331
7, 0.460148
8, 0.588758
9, -0.689288
1, -0.302346
2, -0.116945
3, -0.464262
4, -0.659230
5, -1.045553
6, 0.232890
7, 0.443675
8, 0.606747
9, -0.698884
1, -0.309670
2, -0.121619
3, -0.447272
4, -0.673362
5, -1.054573
6, 0.265673
7, 0.441536
8, 0.605381
9, -0.693921
1, -0.286241
2, -0.133181
3, -0.460866
4, -0.648244
5, -1.066968
6, 0.251099
7, 0.456772
8, 0.597863
9, -0.702761
1, -0.301429
2, -0.111420
3, -0.473300
4, -0.658389
5, -1.052432
6, 0.242794
7, 0.446852
